chn 0,  Pts = 0,  LumPixSum = 0,  LumPixAverage=0!     

chn 0,  Pts = 0,  LumPixSum = 0,  LumPixAverage=0!     

chn 0,  Pts = 0,  LumPixSum = 0,  LumPixAverage=0!     

chn 0,  Pts = 0,  LumPixSum = 0,  LumPixAverage=0!     

chn 0,  Pts = 0,  LumPixSum = 300368170,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300778943,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300668756,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300540443,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300774201,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300946502,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301177844,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301423635,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301369392,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301565160,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301706979,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301469704,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301572649,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301501572,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301699833,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301917641,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301746265,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301895918,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301974578,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301782691,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 302161561,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301800883,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301822640,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 302162969,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300420491,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300846003,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300756737,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300623340,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300797680,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300706994,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300886810,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301110477,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301044893,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301358391,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301556968,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301516040,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301960833,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301789504,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301761380,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301986639,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 302018806,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301938300,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301947613,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 302029425,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301986287,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301991935,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 302023846,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 302166467,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300182559,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300489402,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300059771,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300937216,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301067433,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300871661,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301037092,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301274113,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301200022,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301347660,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301386015,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301253779,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301315614,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301260518,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301403518,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301494437,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301324413,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301456127,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301390554,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301344437,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301509070,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301365565,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301500731,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301612188,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 299779360,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300205520,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300144880,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299960590,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300132268,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300014559,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300093103,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300421520,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300689648,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 300867667,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301053830,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301098856,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301327822,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301299854,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301330183,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301591006,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301495714,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301492407,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301546429,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301513246,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301638394,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301556077,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301545063,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301713665,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

chn 0,  Pts = 0,  LumPixSum = 299987277,  LumPixAverage=143!     

